Contract,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026061205013249,AHL,58,14,10,484.40,4844.00
2026061205013003,AHL,51,14,200,481.30,96260.00
2026061205012995,AHL,51,56,100,481.30,48130.00
2026061205013006,BBC,41,58,10,4310.00,43100.00
2026061205012876,BBC,64,38,10,4222.00,42220.00
2026061205012875,BBC,36,38,20,4225.00,84500.00
2026061205012874,BBC,33,38,10,4226.10,42261.00
2026061205012873,BBC,58,38,10,4230.00,42300.00
2026061205012872,BBC,33,38,10,4230.10,42301.00
2026061205012871,BBC,22,38,10,4252.00,42520.00
2026061205012870,BBC,35,38,10,4252.10,42521.00
2026061205012869,BBC,33,38,10,4252.20,42522.00
2026061205012868,BBC,35,38,10,4252.30,42523.00
2026061205012905,BEDC,48,58,30,359.00,10770.00
2026061205012802,BGWT,47,49,178,660.00,117480.00
2026061205012801,BGWT,47,42,42,660.00,27720.00
2026061205012857,BGWT,47,26,57,664.00,37848.00
2026061205012856,BGWT,47,42,43,663.00,28509.00
2026061205012804,BGWT,47,58,62,660.00,40920.00
2026061205012803,BGWT,47,51,18,660.00,11880.00
2026061205013212,BGWT,47,26,10,664.00,6640.00
2026061205013200,BHDC,47,41,10,459.20,4592.00
2026061205013088,BHDC,45,38,130,455.10,59163.00
2026061205013084,BHDC,47,45,10,457.50,4575.00
2026061205013214,BHL,42,33,66,215.60,14229.60
2026061205013206,BHL,58,33,39,215.60,8408.40
2026061205013201,BHL,58,62,10,215.60,2156.00
2026061205013190,BHL,58,57,90,215.60,19404.00
2026061205013114,BHL,58,6,10,215.90,2159.00
2026061205013109,BHL,80,62,500,216.00,108000.00
2026061205013022,BHL,45,62,100,216.00,21600.00
2026061205012979,BHL,32,62,279,216.00,60264.00
2026061205013251,BHPL,42,72,20,525.00,10500.00
2026061205013280,CHDC,62,46,77,2255.00,173635.00
2026061205013279,CHDC,62,58,12,2255.00,27060.00
2026061205013278,CHDC,62,6,12,2255.00,27060.00
2026061205013277,CHDC,62,60,10,2253.90,22539.00
2026061205013276,CHDC,62,60,10,2251.00,22510.00
2026061205013275,CHDC,62,38,10,2250.00,22500.00
2026061205013274,CHDC,62,60,10,2249.90,22499.00
2026061205013273,CHDC,62,14,59,2249.00,132691.00
2026061205013132,CHDC,39,25,22,2239.00,49258.00
2026061205012998,CHDC,34,36,10,2238.90,22389.00
2026061205012842,CIT,7,42,300,1741.00,522300.00
2026061205013263,CKHL,35,35,10,647.00,6470.00
2026061205013098,CLI,84,42,2000,455.00,910000.00
2026061205013069,CLI,84,60,296,455.00,134680.00
2026061205012903,CLI,84,7,13,455.00,5915.00
2026061205012896,CLI,57,60,59,455.90,26898.10
2026061205013167,DOLTI,44,53,100,349.90,34990.00
2026061205013154,DOLTI,49,53,50,349.90,17495.00
2026061205013085,DOLTI,58,53,100,349.90,34990.00
2026061205013020,DOLTI,45,53,50,349.90,17495.00
2026061205013019,DOLTI,45,38,20,349.90,6998.00
2026061205012983,DOLTI,45,50,130,349.80,45474.00
2026061205012925,DOLTI,13,50,10,349.80,3498.00
2026061205012878,DOLTI,22,50,100,349.80,34980.00
2026061205012841,DOLTI,13,50,10,349.80,3498.00
2026061205013182,DORDI,48,80,402,270.00,108540.00
2026061205013181,DORDI,48,13,30,270.00,8100.00
2026061205013180,DORDI,48,7,20,270.00,5400.00
2026061205013179,DORDI,48,58,288,270.00,77760.00
2026061205013112,EHPL,45,19,24,384.00,9216.00
2026061205012937,EHPL,45,19,176,384.00,67584.00
2026061205012936,EHPL,45,35,24,383.00,9192.00
2026061205012863,EHPL,57,39,300,382.50,114750.00
2026061205013209,ENL,35,38,10,880.00,8800.00
2026061205013199,ENL,60,38,10,880.00,8800.00
2026061205013213,GCIL,42,57,129,388.50,50116.50
2026061205013189,GCIL,38,58,44,388.00,17072.00
2026061205013164,GCIL,41,58,71,388.00,27548.00
2026061205013163,GCIL,48,58,185,388.00,71780.00
2026061205012854,GCIL,39,45,150,388.00,58200.00
2026061205012850,GCIL,42,57,71,387.90,27540.90
2026061205012934,GCIL,48,58,30,388.00,11640.00
2026061205012933,GCIL,48,58,10,388.00,3880.00
2026061205012932,GCIL,48,7,12,388.00,4656.00
2026061205012931,GCIL,48,7,12,388.00,4656.00
2026061205012930,GCIL,48,45,176,388.00,68288.00
2026061205012935,GCIL,48,42,75,388.00,29100.00
2026061205013083,GCIL,39,57,150,388.50,58275.00
2026061205013103,GVL,38,14,10,489.00,4890.00
2026061205012922,GVL,4,84,1000,488.20,488200.00
2026061205012887,GVL,38,48,10,490.00,4900.00
2026061205012852,GVL,85,60,1000,488.20,488200.00
2026061205013158,HATHY,58,48,67,773.10,51797.70
2026061205013129,HATHY,58,34,21,773.10,16235.10
2026061205013128,HATHY,58,34,23,773.20,17783.60
2026061205013021,HATHY,26,32,62,774.50,48019.00
2026061205012820,HDL,6,16,11,1156.50,12721.50
2026061205012814,HDL,42,16,20,1156.50,23130.00
2026061205012912,HDL,48,16,180,1156.00,208080.00
